Species# guide;Family;Genus;species;Scientific Name;Link Scientific name to Description in Cajas Flora;Flora base link;flora key;Author;;flower color1;flower color2;Life form1/forma de vida;Life form2/forma de vida;3. Photographer;4. Copyright;5. Photo date;8. Photo local    ;Link Scientif Name to Names in Tropicos;tropicos id;tropicos link
3;Isoëtaceae;Isoëtes;novo-granadensis;Isoëtes novo-granadensis;Isoëtes novo-granadensis H. P. Fuchs;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Isoëtes+novo-granadensis;3. Isoëtes novo-granadensis H. P. Fuchs;;green;;acquatic;herb;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;26619689;http://www.tropicos.org/Name/26619689
4;Pteridaceae;Jamesonia;goudotii;Jamesonia goudotii;Jamesonia goudotii (Hieron.) C. Chr.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Jamesonia+goudotii;4. Jamesonia goudotii (Hieron.) C. Chr.;;green;;herb;;-;-;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;26606391;http://www.tropicos.org/Name/26606391
56;Rosaceae;Lachemilla;hispidula;Lachemilla hispidula;Lachemilla hispidula (L. M. Perry) Rothm.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Lachemilla+hispidula;56. Lachemilla hispidula (L. M. Perry) Rothm.;;pink;;herb;;-;-;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;27806115;http://www.tropicos.org/Name/27806115
91;Rosaceae;Lachemilla;orbiculata;Lachemilla orbiculata;Lachemilla orbiculata (Ruiz & Pav.) Rydb.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Lachemilla+orbiculata;91. Lachemilla orbiculata (Ruiz & Pav.) Rydb.;;green;pink;rosette;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;27801673;http://www.tropicos.org/Name/27801673
28;Asteraceae ;Loricaria;thuyoides;Loricaria thuyoides;Loricaria thuyoides (Lam.) Sch. Bip.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Loricaria+thuyoides;28. Loricaria thuyoides (Lam.) Sch. Bip.;;white;brown;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2727069;http://www.tropicos.org/Name/2727069
76;Fabaceae;Lupinus;microphyllus;Lupinus microphyllus;Lupinus microphyllus Desr.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Lupinus+microphyllus;76. Lupinus microphyllus Desr.;;purple;;shrub;;P. M. J�rgensen;P. M. J�rgensen;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;13037051;http://www.tropicos.org/Name/13037051
11;Campanulaceae;Lysipomia;vitreola;Lysipomia vitreola;Lysipomia vitreola McVaugh;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Lysipomia+vitreola;11. Lysipomia vitreola McVaugh;;white;;cushion;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;5502024;http://www.tropicos.org/Name/5502024
12;Melastomataceae;Miconia;chionophila;Miconia chionophila;Miconia chionophila Naudin;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Miconia+chionophila;12. Miconia chionophila Naud.;;white;;herb;cushion;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;20301006;http://www.tropicos.org/Name/20301006
13;Melastomataceae;Miconia;salicifolia;Miconia salicifolia;Miconia salicifolia (Bonpl. ex Naudin) Naudin;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Miconia+salicifolia;13. Miconia salicifolia (Bonpl. ex Naudin) Naudin;;white;;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;20302462;http://www.tropicos.org/Name/20302462
75;Polygalaceae;Monnina;crassifolia;Monnina crassifolia;Monnina crassifolia (Bonpl.) Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Monnina+crassifolia;75. Monnina crassifolia (Bonpl.) Kunth;;purple;;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;25900130;http://www.tropicos.org/Name/25900130
